removed_feature,set,rep,rmse,accuracy,r2
rho,Train,5,0.007743574093222884,0.4781001872850757,0.22732576139850524
rho,Development,5,0.007916914651841526,0.46870297277469797,0.21952799954517999
rho,Test,5,0.007865964638016764,0.47112757141152467,0.22178557254129427
Mpi,Train,5,0.0076877171532520145,0.48892173551682394,0.23843266300353494
Mpi,Development,5,0.007809119489075856,0.49086813003747704,0.2406368162108482
Mpi,Test,5,0.007794826316767972,0.4858642134279244,0.2357979750323802
Mexp,Train,5,0.00761982592641856,0.5064050557484283,0.2518242690108121
Mexp,Development,5,0.007775192619496524,0.49909188537086047,0.24722061921500404
Mexp,Test,5,0.007676297327500807,0.5146136368665586,0.2588623524827567
Sexp,Train,5,0.007687984655160956,0.4908871262077916,0.2383796630669589
Sexp,Development,5,0.00785989877261418,0.48224785523749303,0.2307290954743001
Sexp,Test,5,0.007859497536290649,0.4727377699361939,0.22306468405833246
winLen,Train,5,0.007760912221812218,0.47561457188988476,0.2238617994064529
winLen,Development,5,0.007903378315882484,0.47282864813120007,0.2221946190259808
winLen,Test,5,0.007886033214687666,0.46750338205914244,0.21780956211503388
geneLen,Train,5,0.007746834498896242,0.47761267533263707,0.22667496067062354
geneLen,Development,5,0.007922565573395934,0.4690847614074157,0.21841343401988544
geneLen,Test,5,0.00788897829264872,0.46733634786202827,0.21722522727777638
none,Train,6,0.007531802266503504,0.5187141771578256,0.26727558432839515
none,Development,6,0.007847712103125409,0.49549508229044126,0.24415239199932048
none,Test,6,0.007847338122862434,0.47937372628543,0.22821460645731517
gerp,Train,6,0.00765289235096185,0.49461443360925944,0.2435259193487942
gerp,Development,6,0.00795477797684228,0.4729728577878594,0.22338773746437302
gerp,Test,6,0.007968991034555948,0.45207026337169043,0.2041000084705441
mr,Train,6,0.0075904545861636245,0.5059842771923921,0.25581927723626074
mr,Development,6,0.007800962424172105,0.5033857108512245,0.25313090278927564
mr,Test,6,0.00789308648254056,0.4687880751761854,0.2191896774558697
tau,Train,6,0.007736653912354271,0.4782483236728218,0.22687595057426857
tau,Development,6,0.00802727234249211,0.4587718934195196,0.209168219771116
tau,Test,6,0.008034785264805357,0.43786912109239945,0.19090340685805263
SIFTsorghum,Train,6,0.0076575857766924115,0.4976731839195933,0.24259776213002016
SIFTsorghum,Development,6,0.007890449863178264,0.4904536170021923,0.23589745268051898
SIFTsorghum,Test,6,0.007997526305880992,0.44575385252946087,0.1983899043560584
SIFTcounts,Train,6,0.00803367333082903,0.4096998267838001,0.16637413712199312
SIFTcounts,Development,6,0.008287902446743708,0.3972287908550147,0.15698096802660266
SIFTcounts,Test,6,0.0083369323277446,0.3596112696176721,0.1289072961400035
frac,Train,6,0.007581191531938847,0.5116571744672386,0.2576344992676265
frac,Development,6,0.007789215161560062,0.5085477842088111,0.2553785899151465
frac,Test,6,0.007850069178454846,0.4799454534140452,0.2276773145598956
rho,Train,6,0.007771220459379653,0.46935465631755247,0.21995204532512724
rho,Development,6,0.008029178671233483,0.45706588882326454,0.2087925593226515
rho,Test,6,0.008072126555130121,0.4286526166183094,0.18336545385236436
Mpi,Train,6,0.007598282458163085,0.5057792360529041,0.2542835707365484
Mpi,Development,6,0.00779568224083593,0.5053287905805806,0.25414161682851755
Mpi,Test,6,0.007925496748967727,0.4612658458987404,0.21276425023636414
Mexp,Train,6,0.0075835681818642395,0.5135281401810395,0.2571689736417385
Mexp,Development,6,0.007816940574289288,0.5055265297134667,0.25006825301429203
Mexp,Test,6,0.007842423909588723,0.4814417339338171,0.22918092915559707
Sexp,Train,6,0.007604283032291542,0.504406677758226,0.25310527981486486
Sexp,Development,6,0.007895277193000982,0.48482561065427926,0.23496221998725375
Sexp,Test,6,0.007930757108277764,0.4602196140615581,0.21171888555347906
winLen,Train,6,0.007733719096064987,0.4786781611592699,0.22746239187656658
